Number;Input;Output;KotF_now;Frequency;;
290;-218,5420084;-1746,928261;7,996267193;289;;
291;-218,794817;-1749,070528;7,996542359;290;;
292;-219,0236322;-1751,020988;7,996817355;291;;
293;-219,228429;-1752,77943;7,997092198;292;;
294;-219,409185;-1754,345659;7,997366902;293;;
295;-219,5658803;-1755,719505;7,997641483;294;;
296;-219,6984976;-1756,900816;7,997915955;295;;
297;-219,8070226;-1757,889464;7,998190333;296;;
298;-219,8914433;-1758,685339;7,998464634;297;;
299;-219,9517504;-1759,288354;7,998738871;298;;
300;-219,9879373;-1759,698443;7,999013061;299;;
Input Max;Input Min;Output Max;Output Min;Inp Amplitude;Out Amplitude;KotF
220.0;-219.98793726041268;1759.7708132391022;-1759.6984434155097;220.0;1759.734628327306;7.998793765124118
